"","identifier","text","annus_accipere_ire_amicus_tenere_currere_regere","stare_pes_eumolpus_iterum_ingens_extra_metiri","hodie_nemo_fortunare_maga_amare_dominus_caelus","sanguis_an_adhuc_quidam_cenare_amicus_temptare","deinde_numquid_lacrima_mors_ab_timere_peccare","vinum_supra_metiri_perfundere_aqua_potio_medius","movere_giton_vultus_causa_relinquere_ars_parere","nasci_alter_aureus_afferre_duo_notare_ovare","planus_dormire_pater_occidere_pro_aurum_relinquere","nox_frater_intellegere_ascyltos_pati_vir_descendere","vultus_postquam_pectus_gaudium_mens_gladium_nunc","ante_mulier_diligens_iacere_ascyltos_uter_longus","locus_tantus_fugere_frater_loqui_amare_secretus","pro_causa_legere_ducere_fides_poena_vulnus","eumolpus_navis_iuvenis_navigium_damnare_littera_placere","pes_afferre_implere_gratia_fortunare_post_cervix","extra_turbare_imponere_vocare_gitona_frons_carmen","vocare_noster_ancilla_hinc_puella_quia_vox","perire_mare_fluctus_vincere_vovere_litus_terra","terra_arma_tellus_petere_orbis_bellus_caelus"
"1","urn:cts:latinLit:phi0972.phi001:1.1","num alius genus furia declamator inquietare quis clamare hic vulnus pro libertas publicus excipere hic oculus pro tu impendere dare ego dux quis ego ducere ad liber meus nam succidere poples membrum non sustinere","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.695833333333333","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.00138888888888889","0.279166666666667"
"2","urn:cts:latinLit:phi0972.phi001:1.2","hic ipse tolerabilis esse sium ad eloquentia ire via facere nunc et res tumor et sententia vanus strepere hic tantus proficere ut cum in foris venire putare se in alius orbis terra deferre","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.440350877192982","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.17719298245614","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.352631578947368"
"3","urn:cts:latinLit:phi0972.phi001:1.3","et ideo ego adulescentulus existimare in schola stultus fieri quia nihil ex hic quis in usus habere aut audire aut videre sed pirata cum catena in litus stare sed tyrannus edictare scribere quis imperare filius ut pater suus caput praecidere sed respondere in pestilentia dare ut virgo tres aut multus immolare sed mellitus verbum globulus et omnis dicere facere quasi papaver et sesamon spargere","0.000819672131147541","0.24672131147541","0.000819672131147541","0.000819672131147541","0.000819672131147541","0.000819672131147541","0.000819672131147541","0.000819672131147541","0.65655737704918","0.000819672131147541","0.000819672131147541","0.000819672131147541","0.000819672131147541","0.000819672131147541","0.000819672131147541","0.000819672131147541","0.000819672131147541","0.000819672131147541","0.0827868852459017","0.000819672131147541"
"4","urn:cts:latinLit:phi0972.phi001:2.1","quis inter hic nutrire non maga sapere posse quis bonus olere quis in culina habitare","0.00454545454545455","0.00454545454545455","0.686363636363636","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.231818181818182","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455"
"5","urn:cts:latinLit:phi0972.phi001:2.2","pax vester licere dicere prae omnis eloquentia perdere levis enim at inanis sonus ludibrium quidam excitare efficere ut corpus oratio enervare et cadere","0.00149253731343284","0.225373134328358","0.00149253731343284","0.523880597014925","0.00149253731343284","0.00149253731343284","0.00149253731343284","0.00149253731343284","0.00149253731343284","0.00149253731343284","0.225373134328358","0.00149253731343284","0.00149253731343284","0.00149253731343284","0.00149253731343284","0.00149253731343284","0.00149253731343284","0.00149253731343284","0.00149253731343284","0.00149253731343284"
"6","urn:cts:latinLit:phi0972.phi001:2.3","nondum iuvenis declamatio continere cum sophocles aut euripides invenire verbum quis debere loqui","0.0027027027027027","0.0027027027027027","0.0027027027027027","0.0027027027027027","0.0027027027027027","0.0027027027027027","0.0027027027027027","0.0027027027027027","0.272972972972973","0.0027027027027027","0.0027027027027027","0.0027027027027027","0.0027027027027027","0.0027027027027027","0.678378378378378","0.0027027027027027","0.0027027027027027","0.0027027027027027","0.0027027027027027","0.0027027027027027"
"7","urn:cts:latinLit:phi0972.phi001:2.4","nondum umbraticus doctor ingenium delere cum pindarus novare lyricus homericis versus canere timere","0.003125","0.471875","0.003125","0.003125","0.471875","0.003125","0.003125","0.003125","0.003125","0.003125","0.003125","0.003125","0.003125","0.003125","0.003125","0.003125","0.003125","0.003125","0.003125","0.003125"
"8","urn:cts:latinLit:phi0972.phi001:2.5","et nere poetare quidem ad testimonium citare certus nere platon nere demosthenen ad hic genus exercitatio accedere videre","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.594117647058824","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.3","0.00588235294117647","0.00588235294117647","0.00588235294117647","0.00588235294117647"
"9","urn:cts:latinLit:phi0972.phi001:2.6","grandis et ut itare dicere pudicus oratio non esse maculosus nec turgidus sed naturalis pulchritudo exsurgere","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.231818181818182","0.00454545454545455","0.686363636363636","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455"
"10","urn:cts:latinLit:phi0972.phi001:2.7","nuper ventosus istaec et enormis loquacitas athenas ex asia commigrare animus iuvenis ad magnus surgere veluti pestilens quidam sidus afflare semel corrumpere regulare eloquentia stare et obmutescere","0.00175438596491228","0.352631578947368","0.00175438596491228","0.615789473684211","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228","0.00175438596491228"
"11","urn:cts:latinLit:phi0972.phi001:2.8","ad supra quis postea thucydidis quis hyperidis ad fama procedere ac nere carmen quidem sanus color enitere sed omnis quasi idem cibus pascere non posse usque ad senectus canescere","0.00161290322580645","0.00161290322580645","0.082258064516129","0.00161290322580645","0.00161290322580645","0.324193548387097","0.00161290322580645","0.00161290322580645","0.00161290322580645","0.00161290322580645","0.00161290322580645","0.00161290322580645","0.00161290322580645","0.00161290322580645","0.00161290322580645","0.00161290322580645","0.324193548387097","0.243548387096774","0.00161290322580645","0.00161290322580645"
"12","urn:cts:latinLit:phi0972.phi001:2.9","pingere quis non alius exire facere postquam aegyptiorum audacia tam magnus ars compendiaria invenire","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.188888888888889","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.188888888888889","0.0037037037037037","0.0037037037037037","0.559259259259259","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037","0.0037037037037037"
"13","urn:cts:latinLit:phi0972.phi001:3.1","non esse pati agamemnon ego diu declamare in porticus quis ipse in schola sudare sed adulescens inquit quoniam sermo habere non publicus sapor et quis rarus esse amare bonus mens non fraudare tu ars secretus","0.0012987012987013","0.0012987012987013","0.0012987012987013","0.0012987012987013","0.0012987012987013","0.0012987012987013","0.261038961038961","0.0012987012987013","0.196103896103896","0.196103896103896","0.0012987012987013","0.0012987012987013","0.261038961038961","0.0012987012987013","0.0012987012987013","0.0012987012987013","0.0662337662337662","0.0012987012987013","0.0012987012987013","0.0012987012987013"
"14","urn:cts:latinLit:phi0972.phi001:3.2","nihil nimirum in hic exercitatio doctor peccare quis necesse habere cum insanire furere nam niti dicere quis adulescentulus probare ut aere cicero solus in schola relinquere","0.108510638297872","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.108510638297872","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.640425531914894","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.108510638297872","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809"
"15","urn:cts:latinLit:phi0972.phi001:3.3","sicut fingere adulator cum cenare dives captare nihil prae meditari quis is quis putare gratissi mum auditor esse nec enim alitare impetrare quis petere niti quidam insidire auris facere","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.959574468085106","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809"
"16","urn:cts:latinLit:phi0972.phi001:3.4","sic eloquentia magister niti tanquam piscator is imponere hama esca quis scire appetere esse pisciculus sinere spes praeda morare in scopulus","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.853191489361702","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.00212765957446809","0.108510638297872","0.00212765957446809"
"17","urn:cts:latinLit:phi0972.phi001:4.1","quis ergo esse parere obiurgatio dignus esse quis noluntliberos suus severus legere proficere","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.686363636363636","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.231818181818182","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455","0.00454545454545455"
